titre,date,editeur,fichier
"The imperial and royal cook : consisting of the most sumptuous made dishes, ragouts, fricassees, soups, gravies, &c. foreign and English : including the latest improvements in fashionable life",1809,London : Printed for Mathews and Leigh by James Moyes,1809_Theimperialandroyalc.txt
"A Treatise on Medical Police, and on Diet, Regimen, &c: In which the Permanent and Regularly ...",1809,J. Moir,1809_ATreatiseonMedicalPo.txt
"A Treatise on Medical Police, and on Diet, Regimen, &c: In which the Permanent and Regularly ...",1809,J. Moir,1809_ATreatiseonMedicalPo.txt
"The London art of cookery and domestic housekeepers' complete assistant : uniting the principles of elegance, taste, and economy : and adapted to the use of servants, and families of every description ...",1811,London : Printed for Scatcherd and Letterman ...,1811_TheLondonartofcooker.txt
The art of preserving all kinds of animal and vegetable substances for several years,1812,,1812_Theartofpreservingal.txt
"The Professed Cook; Or, The Modern Art of Cookery, Pastry, & Confectionary ...",1812,"Printed by C. Richards, No. 18, Warwick Street, Golden Square; for T. Simpson, No. 337, Oxford Street",1812_TheProfessedCookOrTh.txt
An essay on diet and regimen,1812,,1812_Anessayondietandregi.txt
A new system of domestic cookery : formed upon principles of economy: and adapted to the use of private families throughout the United States.,1814,New-York : Published by R. M'Dermut & D. D. Arden,1814_Anewsystemofdomestic.txt
"The French Cook, Or, The Art of Cookery: Developed in All Its Branches",1815,Printed for the author by J. Ebers,1815_TheFrenchCookOrTheAr.txt
"Apicius redivivus : or, The cook's oracle: wherein especially the art of composing soups, sauces, and flavouring essences is made so clear and easy ... being six hundred receipts, the result of actual experiments instituted in the kitchen of a physician, for the purpose of composing a culinary code for the rational epicure ..",1817,London : Printed for S. Bagster,1817_ApiciusredivivusorTh.txt
"Modern domestic cookery, and useful receipt book",1819,,1819_Moderndomesticcooker.txt
"The new family receipt book, containing eight hundred truly valuable receipts in various branches of domestic economy",1819,"New-Haven: Printed by Howe & Spalding, and Samuel Wadsworth",1819_Thenewfamilyreceiptb.txt
"The family receipt book : containing eight hundred valuable receipts in various branches of domestic economy, selected from the works of the most approved writers, ancient and modern, and from the attested communications of scientific friends",1819,Pittsburgh : Published by Randolph Barnes,1819_Thefamilyreceiptbook.txt
"The new family receipt book, containing eight hundred truly valuable receipts in various branches of domestic economy",1819,"New-Haven: Printed by Howe & Spalding, and Samuel Wadsworth",1819_Thenewfamilyreceiptb.txt
"The practice of cookery, pastry, confectionary, pickling, preserving, &c: pastry, confectionary ...",1820,"printed for Peter Hill , and Vernor and Hood , London",1820_Thepracticeofcookery.txt
"The husbandman and housewife: a collection of valuable recipes and directions, relating to agriculture and domestic economy",1820,Bellows Falls [Vt.]: Printed by Bill Blake & co.,1820_Thehusbandmanandhous.txt
"Facts and observations on the culture of vines, olives, capers, almonds, &c. in the Southern States, and of coffee, cocoa, and cochineal in East Florida",1821,"Philadelphia, J. Maxwell",1821_Factsandobservations.txt
"The domestic encyclopedia, or, A dictionary of facts and useful knowledge, chiefly applicable to rural & domestic economy [microform] : with an appendix, containing additions in domestic medicine, and the veterinary and culinary arts",1821,Philadelphia : Abraham Small,1821_Thedomesticencyclope.txt
The Cook's Oracle: Containing Receipts for Plain Cookery on the Most ...,1822,Munroe and Francis,1822_TheCooksOracleContai.txt
"The cook's oracle : containing receipts for plain cookery on the most economical plan for private families, also the art of composing the most simple, and most highly finished broths, gravies, soups, sauces, store sauces, and flavouring essences : the quantity of each article is accurately stated by weight and measure, the whole being the result of actual experiments instituted in the kitchen of a physician",1822,"London : Printed for A. Constable & Co., Edinburgh, and Hurst, Robinson & Co., Cheapside",1822_Thecooksoraclecontai.txt
"The cook's oracle : containing receipts for plain cookery on the most economical plan for private families, also the art of composing the most simple, and most highly finished broths, gravies, soups, sauces, store sauces, and flavoring essences : the quantity of each article is accurately stated by weight and measure, the whole being the result of actual experiments instituted in the kitchen of a physician",1822,Edinburgh : A. Constable,1822_Thecooksoraclecontai.txt
"The housewife's guide, or, A complete system of modern cookery : particularly adapted to the middle class of society, and diligently selected from the most approved works",1822,Belfast : Printed by Joseph Smyth,1822_Thehousewifesguideor.txt
"The cook and housekeeper's complete and universal dictionary; including a system of modern cookery, in all its various branches, adapted to the use of private families: also a variety of original and valuable information, relative to baking, brewing, carving ... and every other subject connected with domestic economy",1823,"Bungay, J. and R. Childs",1823_Thecookandhousekeepe.txt
"The Cook's Oracle: Containing Receipts for Plain Cookery, on the Most ...",1823,Munroe and Francis,1823_TheCooksOracleContai.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
"The house book or, family chronicle of useful knowledge, and cottage physician [electronic resource] : combining medicine, cookery, diet, general economy, health, sea-bathing, gardening, manufactures, arts, &c., &c. with the various branches of domestic concerns; including upwards of a thousand select recipes and prescriptions, from the best authorities; and a variety of other important information, for the use of families, invalids and convalescents",1826,"London : printed for Sherwood, Gilbert and Piper",1826_Thehousebookorfamily.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
A treatise on diet; with a view to establish on practical grounds a system of rules for the prevention and cure of the diseases incident to a disordered state of the digestive functions,1826,"Philadelphia, Small",1826_Atreatiseondietwitha.txt
A treatise on diet; with a view to establish on practical grounds a system of rules for the prevention and cure of the diseases incident to a disordered state of the digestive functions,1826,"Philadelphia, Small",1826_Atreatiseondietwitha.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The gardener's magazine and register of rural & domestic improvement,1826,"London : Longman, Rees, Orme, Brown and Green",1826_Thegardenersmagazine.txt
The Cook's Oracle: Containing Receipts for Plain Cookery on the Most ...,1827,Cadell,1827_TheCooksOracleContai.txt
The Art of French Cookery,1827,Longman,1827_TheArtofFrenchCooker.txt
"Modern Domestic Cookery, and Useful Receipt Book: Adapted for Families in ...",1828,T. Kinnersley,1828_ModernDomesticCooker.txt
"A treatise on diet and regimen, wherein are established on practical grounds, rules, for the prevention, and cure of diseases incident to a disordered state of the digestive organs, and of the nervous system",1828,"London, Longman, Rees, Orme, Brown, & Green",1828_Atreatiseondietandre.txt
"Comments on corpulency; lineaments of leanness, mems on diet and dietetics",1829,"London, J. Ebers & co.",1829_Commentsoncorpulency.txt
The wine-drinker's manual ..,1830,"London, Marsh and Miller; [etc., etc.]",1830_Thewinedrinkersmanua.txt
"The Cook's Dictionary, and House-keeper's Directory: A New Family Manual of Cookery and ...",1830,H. Colburn and R . Bentley,1830_TheCooksDictionaryan.txt
"The cook's oracle; and Housekeeper's manual. Containing receipts for cookery, and directions for carving ... with a complete system of cookery for Catholic families ... being the result of actual experiments instituted in the kitchen of William Kitchiner",1830,"New York, J. & J. Harper",1830_ThecooksoracleandHou.txt
The Cook's Oracle: And Housekeeper's Manual. Containing Receipts for Cookery ...,1830,J. & J. Harper,1830_TheCooksOracleAndHou.txt
The Practice of Cookery: Adapted to the Business of Every Day Life,1830,R. Cadell,1830_ThePracticeofCookery.txt
"Seventy-five receipts for pastry, cakes, and sweetmeats",1830,Boston : Munroe and Francis ; New York : C.S. Francis,1830_Seventyfivereceiptsf.txt
"Dyspepsy Forestalled & Resisted: Or, Lectures on Diet, Regimen, & Employment; Delivered to the ...",1830,"J. Leavitt; [etc.,etc.]",1830_DyspepsyForestalledR.txt
"Seventy-five Receipts for Pastry, Cakes, and Sweetmeats",1830,C.S. Francis,1830_SeventyfiveReceiptsf.txt
The wine-drinker's manual ..,1830,"London, Marsh and Miller; [etc., etc.]",1830_Thewinedrinkersmanua.txt
"A new collection of genuine receipts, for the preparation and execution of curious arts, and interesting experiments ... To which is added, a complete and much approved system of dyeing, in all its varieties",1831,"Concord, N.H., Fisk & Chase",1831_Anewcollectionofgenu.txt
"The cook's oracle; and housekeeper's manual. Containing receipts for cookery, and directions for carving. Also, the art of composing the most simple and most highly finished broths, gravies, soups, sauces, store sauces, and flavouring essences; pastry, preserves, puddings, pickles, &c., with a complete system of cookery for Catholic families. The quantity of each article is accurately stated by weight and measure; being the result of actual experiments instituted in the kitchen of William Kitchiner, M.D",1831,[New York] Printed by J. & J. Harper,1831_Thecooksoracleandhou.txt
"The Cook not mad, or, Rational cookery [microform] : being a collection of original and selected receipts, embracing not only the art of curing various kinds of meats and vegetables for future use, but of cooking, in its general acceptation, to the taste, habits, and degrees of luxury prevalent with the Canadian public, to which are added, directions for preparing comforts for the sick room, together with sundry miscellaneous kinds of information of importance to housekeepers in general, nearly all tested by experience",1831,"Kingston, U.C. [Ont.] : J. Macfarlane",1831_TheCooknotmadorRatio.txt
"The cook's own book : being a complete culinary encyclopedia comprehending all valuable receipts for cooking meat, fish, and fowl : and composing every kind of soup, gravy, pastry, preserves, essences, &c. that have been published or invented during the last twenty years : particularly the very best of those in the Cook's oracle, Cook's dicitionary, and other systems of domestic economy : with numerous original receipts and a complete system of confectionery",1832,"Boston : Munroe and Francis ; New York : Charles E. Francis, and David Felt [etc.]",1832_Thecooksownbookbeing.txt
The Cook's Own Book: Being a Complete Culinary Encyclopedia... With Numerous ...,1832,"Charles E. Francis, and David Felt [etc.]",1832_TheCooksOwnBookBeing.txt
"The farmer's own book; or, Family receipts for the husbandman and housewife; being a compilation of the very best receipts on agriculture, gardening, and cookery, with rules for keeping farmers' accounts",1832,"Boston, Carter, Hendee, and co.",1832_ThefarmersownbookorF.txt
"The young gardener's assistant: containing a catalogue of garden and flower seeds, with practical directions under each head for the cultivation of culinary vegetables and flowers",1833,"New York, Printed by Booth & Smith",1833_Theyounggardenersass.txt
"The cook's own book and housekeeper's register; comprehending all valuable receipts for cooking meat, fish and fowl and composing every kind of soup, gravy, pastry, preserves, essences, &c., that have been published or invented during the last twenty years. With numerous original receipts and a complete system of confectionery",1833,"Boston, Munroe & Francis",1833_Thecooksownbookandho.txt
Nature's own book,1835,"New York : Wilbur & Whipple, printers",1835_Naturesownbook.txt
A popular treatise on diet and regimen,1835,,1835_Apopulartreatiseondi.txt
"The New England cook book, or, Young housekeeper's guide : being a collection of the most valuable receipts : embracing all the various branches of cookery, and written in a minute and methodical manner : also, an appendix, containing a collection of miscellaneous receipts, relative to housewifery",1836,"New Haven, [Conn.] : H. Howe",1836_TheNewEnglandcookboo.txt
"The Virginia housewife: : or, Methodical cook",1836,Baltimore: : Published by John Plaskitt,1836_TheVirginiahousewife.txt
Domestic French cookery,1836,"Philadelphia, Carey & Hart",1836_DomesticFrenchcooker.txt
"Cook's Oracle: Containing Receipts for Plain Cookery, on the Most Economical ...",1836,Cadell,1836_CooksOracleContainin.txt
The art of cookery,1836,,1836_Theartofcookery.txt
"The young cook's guide; with practical observations [electronic resource] : a new treatise on French and English cookery, combining economy with elegance. To which is added an appendix, containing M. Appert's method of preserving fruit without sugar. The rudiments of ices and many useful performances in the art of confectionary",1836,London : Laking,1836_Theyoungcooksguidewi.txt
The housekeeper's book : comprising advice on the conduct of household affairs in general; ... with a complete collection of receipts for economical domestic cookery. The whole carefully prepared for the use of American housekeepers,1837 ;,Philadelphia : William Marshall & Co.,1837_Thehousekeepersbookc.txt
"Directions for cookery : being a system of the art, in its various branches",1837,Philadelphia : E. L. Carey & A. Hart,1837_Directionsforcookery.txt
"The young house-keeper; or, Thoughts on food and cookery",1838,"Boston, G. W. Light",1838_Theyounghousekeepero.txt
"A new system of domestic cookery : formed upon principles of economy, and adapted to the use of private families, with the addition of many new receipts",1838,London : Printed for Thomas Al[l]man,1838_Anewsystemofdomestic.txt
"The young house-keeper; or, Thoughts on food and cookery",1838,"Boston, G. W. Light",1838_Theyounghousekeepero.txt
"Vegetable Diet: As Sanctioned by Medical Men, and by Experience in All Ages",1838,"Marsh, Capen & Lyon",1838_VegetableDietAsSanct.txt
"The lady's annual register, and housewife's memorandum-book, for 1839",1838,"Boston : Otis, Broaders, and Co.",1838_Theladysannualregist.txt
"The young house-keeper; or, Thoughts on food and cookery",1838,"Boston, G. W. Light",1838_Theyounghousekeepero.txt
"The modern process for the preservation of all alimentary substances : by which they retain their native purity and essential qualities, in any climate and for several years, and by means of which may be served, at a few minutes notice, a complete and exquisite dinner",1838,"London : Published for the author by Simpkin, Marshall & Co.",1838_Themodernprocessfort.txt
"A new system of domestic cookery : formed upon principles of economy, and adapted to the use of private families, with the addition of many new receipts",1838,London : Printed for Thomas Al[l]man,1838_Anewsystemofdomestic.txt
British husbandry; exhibiting the farming practice in various parts of the United Kingdom,1840,London Baldwin and Cradock,1840_Britishhusbandryexhi.txt
British husbandry; exhibiting the farming practice in various parts of the United Kingdom,1840,London Baldwin and Cradock,1840_Britishhusbandryexhi.txt
"On the enlisting, discharging and pensioning of soldiers, with the official documents of these branches of military duty; from the second London edition, with the regulations for the recruiting service in the army and navy of the United States",1840,"Philadelphia, Waldie",1840_Ontheenlistingdischa.txt
"The house book ,or, A manual of domestic economy [microform]",1840,Philadelphia : Carey & Hart,1840_ThehousebookorAmanua.txt
"The Cook's Own Book, and Housekeeper's Register: Being Receipts for Cooking ...",1840,Charles S. Francis,1840_TheCooksOwnBookandHo.txt
The American housewife : containing the most valuable and original receipts in all the various branches of cookery : ... together with a collection of miscellaneous receipts and directions relative to housewifery,1841,New York : Dayton and Saxton,1841_TheAmericanhousewife.txt
The American pocket library of useful knowledge,1841,Philadelphia : Printed by C. Sherman,1841_TheAmericanpocketlib.txt
"The water cure. A practical treatise on the cure of diseases by water, air, exercise, and diet",1842,,1842_ThewatercureApractic.txt
The Cook's Own Book and Housekeeper's Register: Being Receipts for Cooking ...,1842,Munroe and Francis,1842_TheCooksOwnBookandHo.txt
"On regimen and longevity: comprising materia alimentaria, national dietetic usages, and the influence of civilization on health and the duration of life",1842,"Philadelphia, Haswell &amp; Johnson",1842_Onregimenandlongevit.txt
"A treatise on food and diet: with observations on the dietetical regimen suited for disordered states of the digestive organs; and an account of the dietaries of some of the principal metropolitan and other establishments for paupers, lunatics, criminals, children, the sick, &c",1843,"New York, J. & H. G. Langley",1843_Atreatiseonfoodanddi.txt
A treatise on diet,1843,,1843_Atreatiseondiet.txt
"The economy of health or The stream of human life from the cradle to the grave with reflections moral, physical, and philosophical on the successive phases of human existence, the maladies to which they are subject, and the dangers that may be averted",1843,"London, Highley",1843_Theeconomyofhealthor.txt
"The vegetable cultivator: containing a plain and accurate description of all the different species and varieties of culinary vegetables ... Also, some recollections of the life of Philip Miller ..",1843,"London, Longman, Brown, Green, & Longmans",1843_Thevegetablecultivat.txt
"The improved housewife; or, Book of receipts; with engravings for marketing and carving",1844,Hartford [Stereotyped by R. H. Hobbs],1844_Theimprovedhousewife.txt
"The Lady's Own Cookery Book, and New Dinner-table Directory: In which Will be Found a Large ...",1844,Published for Henry Colburn,1844_TheLadysOwnCookeryBo.txt
"The Franco-American cookery book; or, How to live well and wisely every day in the year ..",1844,"New York, G. P. Putnam's sons",1844_TheFrancoAmericancoo.txt
"The improved housewife; or, Book of receipts; with engravings for marketing and carving",1844,Hartford [Stereotyped by R. H. Hobbs],1844_Theimprovedhousewife.txt
"The kitchen gardener's instructor : containing a catalogue of garden and herb seed, with practical directions under each head for the cultivation of culinary vegetables and herbs : with a calendar, showing the work necessary to be done in a kitchen garden ... : also, directions for forcing or forwarding vegetables out of the ordinary season : the whole adapted to the climate of the United States",1844,New-York : For sale by the author [and 21 others],1844_Thekitchengardenersi.txt
"An encyclopaedia of domestic economy comprising such subjects as are most immediately connected with housekeeping [electronic resource] : as, the construction of domestic edifices ... duties of servants, the general account of the animal and vegetable substances used as food ... making bread ... preservation of health ; domestic medicine &c. &c.",1844,"London : Longman, Brown, Green, & Longmans",1844_Anencyclopaediaofdom.txt
"The improved housewife; or, Book of receipts; with engravings for marketing and carving",1844,Hartford [Stereotyped by R. H. Hobbs],1844_Theimprovedhousewife.txt
"The Complete Confectioner, Pastry-cook, and Baker: Plain and Practical ...",1844,Lea and Blanchard,1844_TheCompleteConfectio.txt
"Modern practical cookery, pastry, confectionery, pickling and preserving [microform] : with a great variety of useful and economical receipts",1845,Montreal : Armour & Ramsay,1845_Modernpracticalcooke.txt
"Modern cookery, in all its branches",1845,,1845_Moderncookeryinallit.txt
"The modern cook: A Practical Guide to the Culinary Art in All Its Branches, Adapted as Well for ...",1846,,1846_ThemoderncookAPracti.txt
Miss Beecher's domestic receipt book:,1846,"New York, Harper & brothers",1846_MissBeechersdomestic.txt
"The French cook : a full and literal translation of La petite cuisiniere habile ; giving plain directions for making the most celebrated and delicious potages, entreés, entremets, crêmes, fritures ; sauces, pates, patisserie, confitures, geleés, &c. with delicacy and economy ; with full directions for preserving fruits, meats, fish, and vegetables",1846,New York : Wm. H. Graham,1846_TheFrenchcookafullan.txt
"The Jewish manual; or, Practical information in Jewish and modern cookery, with a collection of ...",1846,,1846_TheJewishmanualorPra.txt
Miss Beecher's domestic receipt-book: designed as a supplement to her Treatise on domestic economy,1846,"New York, Harper & brothers",1846_MissBeechersdomestic.txt
"The complete cook. Plain and practical directions for cooking and housekeeping; with upwards of seven hundred receipts: consisting of directions for the choice of meat and poultry; preparations for cooking, making of broths and soups; boiling, roasting, baking, and frying of meats, fish, &c., seasonings, colourings, cooking vegetables; preparing salads, clarifying; making of pastry, puddings, gruels, gravies, garnishes, &c., and, with general directions for making wines. With additions and alteratons",1846,"Philadelphia, Lea and Blanchard",1846_ThecompletecookPlain.txt
"The complete cook. Plain and practical directions for cooking and housekeeping; with upwards of seven hundred receipts: consisting of directions for the choice of meat and poultry; preparations for cooking, making of broths and soups; boiling, roasting, baking, and frying of meats, fish, &c., seasonings, colourings, cooking vegetables; preparing salads, clarifying; making of pastry, puddings, gruels, gravies, garnishes, &c., and, with general directions for making wines. With additions and alteratons",1846,"Philadelphia, Lea and Blanchard",1846_ThecompletecookPlain.txt
The Gastronomic Regenerator: A Simplified and Entirely New System of Cookery ...,1847,"Simpkin, Marshall, & Co.",1847_TheGastronomicRegene.txt
A popular treatise on diet and regimen,1847,,1847_Apopulartreatiseondi.txt
"Modern Domestic Cookery, and Useful Receipt Book: Adapted for Families",1847,I. Tompkins,1847_ModernDomesticCooker.txt
"Illustrations of eating, displaying the omnivorous character of man, and exhibiting the natives of various countries at feeding time",1847,"London, J. R. Smith",1847_Illustrationsofeatin.txt
"The gastronomic regenerator [electronic resource] : a simplified and entirely new system of cookery with nearly two thousand practical receipts suited to the income of all classes. Illustrated with numerous engravings and correct and minute plans how kitchens of every size, from the kitchen of a royal palace to that of the humble cottage, are to be constructed and furnished",1847,"London : Simpkin, Marshall & Co.",1847_Thegastronomicregene.txt
"A treatise on domestic economy, for the use of young ladies at home, and at school",1848,"New York, Harper",1848_Atreatiseondomestice.txt
